Index,Season,Game,Date,Time,RefTeam,RefATT Tier,OppTeam,OppDEF Tier,GoalsScored,GoalsConc,Home/Away,Result,Shots,OnTarget,Corners,Yellows,Reds,ATTRef,MIDRef,DEFRef,OVRRef,ATTOpp,MIDOpp,DEFOpp,OVROpp,Code,RefGS,OppGD,RefS,RefST,RefC,RefBP,OppBP,ATTDEF,MIDMID,DEFATT,OVROVR,Derby,RefGSF,OppGDF,RefSF,RefSTF,OppSTDF,RefCF,RefBPF,OppBPF,Home
20172018_001,20172018,1,19/08/2017,,Cagliari,C,Juventus,A,0,3,Away,Loss,5,2,1,0,0,74,74,71,73,90,84,85,85,CagliariJuventus,0,0,9.75,3.9,1.95,0,10,-11,-10,-19,-12,0,,,,,,,,,
20172018_001,20172018,1,19/08/2017,,Juventus,A,Cagliari,D,3,0,Home,Win,17,7,4,1,0,90,84,85,85,74,74,71,73,JuventusCagliari,3,3,17,7,4,10,0,19,10,11,12,0,,,,,,,,,
20172018_002,20172018,1,19/08/2017,,Napoli,A,Verona,C,3,1,Away,Win,22,12,6,2,1,83,82,80,81,73,71,73,72,NapoliVerona,3.549,3,26.026,14.196,7.098,45,20,10,11,7,9,0,,,,,,,,,
20172018_002,20172018,1,19/08/2017,,Verona,D,Napoli,A,1,3,Home,Loss,12,4,3,2,0,73,71,73,72,83,82,80,81,VeronaNapoli,1.95,2.095,23.4,7.8,5.85,20,45,-7,-11,-10,-9,0,,,,,,,,,
20172018_003,20172018,1,20/08/2017,,Atalanta,B,Roma,A,0,1,Home,Loss,14,6,4,1,0,77,74,76,75,80,83,80,81,AtalantaRoma,0,0,27.3,11.7,7.8,10,20,-3,-9,-4,-6,0,,,,,,,,,
20172018_008,20172018,1,20/08/2017,,Benevento,D,Sampdoria,D,1,2,Away,Loss,18,7,7,2,0,72,71,71,71,75,75,72,75,BeneventoSampdoria,1,2.095,18,7,7,20,10,0,-4,-4,-4,0,,,,,,,,,
20172018_004,20172018,1,20/08/2017,,Bologna,B,Torino,B,1,1,Home,Draw,13,3,0,2,0,77,74,74,75,78,77,75,76,BolognaTorino,1.446,1.335,18.798,4.338,0,20,10,2,-3,-4,-1,0,,,,,,,,,
20172018_010,20172018,1,20/08/2017,,Chievo,C,Udinese,C,2,1,Away,Win,10,3,4,2,0,74,77,75,75,74,75,75,75,ChievoUdinese,2.366,3.342,11.83,3.549,4.732,20,20,-1,2,1,0,0,,,,,,,,,
20172018_005,20172018,1,20/08/2017,,Crotone,D,Milan,A,0,3,Home,Loss,6,2,2,1,1,69,69,70,70,79,79,81,80,CrotoneMilan,0,0,11.7,3.9,3.9,35,30,-12,-10,-9,-10,0,,,,,,,,,
20172018_006,20172018,1,20/08/2017,,Fiorentina,B,Inter,B,0,3,Away,Loss,15,3,7,1,0,79,76,76,77,81,81,78,80,FiorentinaInter,0,0,21.69,4.338,10.122,10,0,1,-5,-5,-3,0,,,,,,,,,
